"protein","contrast","chisq","pvalue","logFC","adj.pvalue","organism","label","TlogFC"
"1","sp|P0A853|TNAA_ECOLI","conditionB-conditionA",Inf,0,-2.1282194653201,0,"ECOLI","1","2"
"2","sp|P0CE48|EFTU2_ECOLI;sp|P0CE47|EFTU1_ECOLI","conditionB-conditionA",Inf,0,-1.942328034054,0,"ECOLI","1","2"
"3","sp|P0A6F3|GLPK_ECOLI","conditionB-conditionA",Inf,0,-2.23293634558127,0,"ECOLI","1","2"
"4","sp|P60438|RL3_ECOLI","conditionB-conditionA",Inf,0,2.30470239398077,0,"ECOLI","1","2"
"5","sp|P0A6P9|ENO_ECOLI","conditionB-conditionA",Inf,0,-2.94015776594334,0,"ECOLI","1","2"
"6","sp|P04806|HXKA_YEAST","conditionB-conditionA",Inf,0,-0.878945331711911,0,"YEAST","1","-1"
"7","sp|P0A799|PGK_ECOLI","conditionB-conditionA",Inf,0,-3.15424852442326,0,"ECOLI","1","2"
"8","sp|P0A7J7|RL11_ECOLI","conditionB-conditionA",Inf,0,2.41034533180381,0,"ECOLI","1","2"
"9","sp|P0AFG6|ODO2_ECOLI","conditionB-conditionA",Inf,0,2.60989640366796,0,"ECOLI","1","2"
"10","sp|P00560|PGK_YEAST","conditionB-conditionA",191.393978558162,0,-0.864777610682033,0,"YEAST","1","-1"
"11","sp|P32324|EF2_YEAST","conditionB-conditionA",187.729262111625,0,0.865538707144179,0,"YEAST","1","-1"
"12","sp|P00925|ENO2_YEAST","conditionB-conditionA",Inf,0,-0.77609871664767,0,"YEAST","1","-1"
"13","sp|P0AE08|AHPC_ECOLI","conditionB-conditionA",Inf,0,-1.97076120767924,0,"ECOLI","1","2"
"14","sp|P16521|EF3A_YEAST","conditionB-conditionA",Inf,0,0.96237830270357,0,"YEAST","1","-1"
"15","sp|P25553|ALDA_ECOLI","conditionB-conditionA",Inf,0,-2.42798845333503,0,"ECOLI","1","2"
"16","sp|P0A7V3|RS3_ECOLI","conditionB-conditionA",Inf,0,-2.41017311005549,0,"ECOLI","1","2"
"17","sp|P0A836|SUCC_ECOLI","conditionB-conditionA",Inf,0,-2.50634373768636,0,"ECOLI","1","2"
"18","sp|P0AEE5|MGLB_ECOLI","conditionB-conditionA",Inf,0,-2.16082272721675,0,"ECOLI","1","2"
"19","sp|P0ACF8|HNS_ECOLI","conditionB-conditionA",Inf,0,-2.07301444209643,0,"ECOLI","1","2"
"20","sp|P27550|ACSA_ECOLI","conditionB-conditionA",Inf,0,-2.97695358816262,0,"ECOLI","1","2"
"21","sp|P0A7K2|RL7_ECOLI","conditionB-conditionA",Inf,0,-1.96413420049995,0,"ECOLI","1","2"
"22","sp|P00549|KPYK1_YEAST","conditionB-conditionA",Inf,0,-0.839127445048859,0,"YEAST","1","-1"
"23","sp|P02925|RBSB_ECOLI","conditionB-conditionA",Inf,0,-2.67714954839847,0,"ECOLI","1","2"
"24","sp|P00950|PMG1_YEAST","conditionB-conditionA",Inf,0,-0.87423240827988,0,"YEAST","1","-1"
